,ISO,Year,Risk.ext.debt.distress,Debt.Indicator,Inflation,Cur.acc.bal,Gen.gov.len.bor,Vol.Exp.Goods,GDP,GDP.per.cap,Gen.gov.rev,US.int.rates,Ext.Debt.Serv,Real.GDP.growth,Exch.Rate,Control.of.Corruption,Government.Effectiveness,Pol.Stability.Absence.of.Violence,Regulatory.Quality,Rule.of.Law,Voice.and.Accountability
29,ZMB,2005,Low,0,18.325,-2.786,-2.372,6.293,8.332,691.785,20.079,2.981356771,283934369.8,7.235599007,4.465,-0.5917786,4.0647714,0.1050498,-0.7349188,1.9799008,-0.4303459
30,BEN,2006,Moderate,0,6.355,-3.088,-0.147,10.611,7.034,856.1,12.859,4.786447662,42023701.7,3.943738828,522.4256249,-0.5886191,4.3934112,0.5470105,-0.4275719,1.9660776,0.3627777
31,BFA,2006,Moderate,0,2.336,-8.308,14.346,6.985,6.548,473.475,36.224,4.786447662,44734442.2,6.253164688,522.4256249,-0.3099104,4.237663,0.1561723,-0.3436106,2.0689648,-0.3418339
32,BDI,2006,High,1,2.744,-21.287,-9.924,-20.639,1.273,164.575,26.55,4.786447662,19972254.5,5.413807145,1028.683553,-1.095598,3.896653,-1.427005,-1.202598,1.5295595,-0.7231436
33,CMR,2006,Low,0,4.906,0.999,30.453,-1.272,19.374,1056.32,43.949,4.786447662,749188069.1,3.457668793,522.4256249,-1.086014,4.0506039,-0.2452714,-0.8483388,1.345463,-1.023898
34,CAF,2006,In debt distress,1,6.815,-2.872,8.584,0.888,1.538,381.315,21.954,4.786447662,71344027.9,4.77108543,522.4256249,-1.210749,3.495575,-1.851548,-1.260503,0.961759,-1.014794
35,TCD,2006,High,1,9.64,4.579,2.22,-4.665,7.451,712.529,16.152,4.786447662,57157254.9,0.648262014,522.4256249,-1.351849,3.515444,-1.832306,-1.102796,0.951442,-1.418421
36,COM,2006,In debt distress,1,3.389,-3.248,-1.507,6.52,0.689,1110.98,10.948,4.786447662,3756429,2.646955476,391.8192187,-0.696618,3.322652,-0.3597731,-1.489534,1.5465953,-0.2216852
37,COD,2006,In debt distress,1,12.845,0.332,1.056,-29.856,14.376,218.022,10.113,4.786447662,289648504.1,5.320979565,468.278825,-1.525243,3.380935,-2.250013,-1.314578,0.882843,-1.230791
38,COG,2006,High,1,3.706,13.87,15.957,10.243,8.073,2436.38,42.588,4.786447662,87666540.9,7.986238363,522.4256249,-1.10221,3.743937,-0.9244087,-1.212756,1.232912,-1.208369
39,CIV,2006,In debt distress,1,2.466,1.947,-1.034,1.151,24.628,1308.58,13.427,4.786447662,270053013.4,1.515842363,522.4256249,-1.198453,3.836927,-1.865294,-0.9197752,1.050901,-1.278678
40,ETH,2006,Moderate,0,13.558,-11.665,-3.788,-3.921,15.31,198.696,18.279,4.786447662,133643624.6,10.83472707,8.698615833,-0.6461358,4.3399859,-1.738937,-1.008481,1.8401635,-1.193717
41,GMB,2006,In debt distress,1,2.056,-4.296,-3.194,6.856,1.054,662.362,10.828,4.786447662,30340070.6,-0.555580977,28.065725,-0.7218639,4.3248441,-0.0343314,-0.4042953,2.1399347,-0.896951
42,GHA,2006,Moderate,0,11.683,-5.83,-3.338,10.169,28.785,1315.82,12.099,4.786447662,289000354.8,6.399912502,0.915106799,-0.0210537,5.1603275,0.008032,-0.0638116,2.5544558,0.4075934
43,GIN,2006,In debt distress,1,34.702,-3.125,-2.18,-7.38,4.178,426.419,11.035,4.786447662,173582198.7,1.164421523,5148.75,-1.115179,3.703708,-1.907449,-1.228478,1.095333,-1.227811
44,GNB,2006,In debt distress,1,1.953,-6.22,-4.574,-12.394,0.635,467.998,15.233,4.786447662,9829776.2,2.309357998,522.4256249,-1.087825,3.897604,-0.4951869,-0.9375241,1.254162,-0.6288677
45,LBR,2006,In debt distress,1,9.514,-7.288,4.162,30.629,1.119,360.524,14.634,4.786447662,2095513.5,8.043906248,58.01333333,-0.718835,3.716879,-1.32963,-1.473984,1.6124932,-0.1676431
46,MDG,2006,Moderate,0,10.766,-9.155,-3.03,-0.258,6.396,338.751,15.444,4.786447662,60699653.9,5.39850845,2142.301667,-0.1858238,4.4013172,0.1834861,-0.1742754,2.0541942,-0.1102595
47,MWI,2006,Moderate,0,8.337,-17.421,0.561,10.854,3.998,284.729,28.423,4.786447662,70387560.1,4.699999992,136.0125,-0.5493971,4.1403503,0.1192622,-0.5059555,2.2841403,-0.2523139
48,MLI,2006,Moderate,0,1.519,-3.258,27.783,-1.75,6.906,539.607,49.854,4.786447662,85514153.3,4.662186878,522.4256249,-0.4818845,4.2613406,0.4135443,-0.4555993,2.2098378,0.297409
49,MOZ,2006,Low,0,13.245,-8.12,-3.153,13.486,9.303,427.955,17.78,4.786447662,548959730.3,9.694374092,25.40077917,-0.6171736,4.3755068,0.5195007,-0.5614842,1.8883425,-0.0863831
50,NER,2006,High,1,0.04,-6.602,30.956,5.535,4.757,336.298,46.11,4.786447662,169664845.3,5.931049974,522.4256249,-0.8477663,4.2217195,-0.2274929,-0.4932139,1.909213,-0.3245527
51,RWA,2006,High,1,8.831,-4.04,-0.029,12.501,3.327,369.716,20.492,4.786447662,26768806.4,9.227077874,551.7103333,-0.2080816,4.7458991,-0.6821145,-0.6567397,1.8245797,-1.222134
52,STP,2006,High,1,23.075,-33.94,17.258,3.979,0.133,839.546,49.724,4.786447662,7055129.4,9.115642105,12.4486425,-0.2851349,4.2267794,0.3461452,-0.6446061,2.0075949,0.2721276
53,SEN,2006,Low,0,2.114,-6.107,-3.616,-13.59,11.859,1041.89,17.38,4.786447662,186358395.8,2.461570254,522.4256249,-0.3728657,4.7128197,-0.2640902,-0.3104712,2.2783978,0.0617268
54,SLE,2006,Moderate,0,10.533,-5.043,-1.552,7.067,1.884,323.259,15.082,4.786447662,24672293,4.223914279,2961.909167,-1.019453,3.889423,-0.3021837,-1.143849,1.5129572,-0.326509
55,TZA,2006,Low,0,7.251,-7.276,-3.385,-2.083,18.878,491.351,14.234,4.786447662,89138835.4,6.53222139,1251.899973,-0.2327513,4.6155571,-0.3557514,-0.3928336,2.0578642,-0.2002937
56,TGO,2006,In debt distress,1,1.082,-7.503,-2.624,-1.286,2.352,408.104,17.247,4.786447662,26752936.4,2.650132097,522.4256249,-1.039965,3.464926,-0.528969,-0.8759041,1.5573677,-1.195147
57,UGA,2006,Moderate,0,7.219,-2.176,-0.637,12.162,14.079,527.739,13.058,4.786447662,99854589.4,10.78474439,1831.451851,-0.7859881,4.4584615,-1.140198,-0.2414692,2.1734919,-0.4453833
58,ZMB,2006,Low,0,9.017,4.645,16.913,6.303,12.757,1030.28,36.604,4.786447662,144820474.9,7.903694445,3.601666667,-0.5515967,4.1475596,0.3625001,-0.6243531,1.9603749,-0.2073383
59,BEN,2007,Moderate,0,1.194,-6.546,0.222,39.916,8.17,966.317,16.031,5.223405843,36772435.2,5.986349322,478.6337185,-0.4631715,4.4673094,0.3861226,-0.4441905,1.9827572,0.368181
60,BFA,2007,Moderate,0,-0.233,-7.353,-5.015,5.56,7.627,535.126,17.824,5.223405843,42145840.7,4.111379018,478.6337185,-0.3318754,4.2465804,0.3076967,-0.2646435,2.1006216,-0.3070092
61,BDI,2007,In debt distress,1,8.412,-32.41,-2.51,21.323,1.356,170.174,36.455,5.223405843,18199197.6,3.45195249,1081.869683,-1.160764,3.73137,-1.375335,-1.244897,1.435364,-0.7140452
62,CMR,2007,Low,0,1.125,1.277,4.139,20.225,22.397,1187.89,18.523,5.223405843,486125072.4,4.902201732,478.6337185,-1.020625,4.158743,-0.3250326,-0.8477936,1.315307,-1.049566
63,CAF,2007,In debt distress,1,0.96,-6.025,1.044,5.321,1.755,427.313,13.915,5.223405843,89845392.7,4.607534855,478.6337185,-1.189861,3.462972,-1.854586,-1.293416,0.931629,-1.083287
64,TCD,2007,High,1,-7.44,8.15,2.525,-3.799,8.687,803.018,19.586,5.223405843,68608463.6,3.271499579,478.6337185,-1.383073,3.373879,-1.865933,-1.133406,0.961145,-1.451322
65,COM,2007,In debt distress,1,4.486,-2.897,-1.179,5.742,0.796,1251.86,11.884,5.223405843,26173456.5,0.800042349,358.9752889,-0.7067446,3.242416,-1.094133,-1.44984,1.488649,-0.388407
66,COD,2007,In debt distress,1,16.672,3.149,0.454,75.664,16.737,245.818,10.188,5.223405843,500821216.9,6.259477764,516.7498917,-1.357004,3.254317,-2.176482,-1.254051,0.889621,-1.211481
67,COG,2007,High,1,2.595,-24,8.986,-16.14,8.784,2586.3,37.568,5.223405843,108369388,-6.613994804,478.6337185,-1.146641,3.677734,-0.77008,-1.203904,1.264742,-1.233997
68,CIV,2007,In debt distress,1,1.896,-0.494,-0.389,-11.148,28.158,1458.24,14.454,5.223405843,431263472.7,1.765036784,478.6337185,-1.091263,3.790403,-1.838058,-0.8458249,1.044949,-1.20209
69,ETH,2007,Moderate,0,17.245,-4.284,-3.567,17.183,19.329,244.495,16.954,5.223405843,126908778.7,11.456167,8.96595,-0.6287453,4.5615431,-1.803412,-0.9442089,1.8511661,-1.203705
